epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,109.734,0.68666,0.96349,1,0.11907,0.000412234,0.000412234,0.000412234
2,198.159,0.15736,0.96349,1,0.11709,0.000812488,0.000812488,0.000812488
3,284.913,0.12229,0.93945,1,0.15774,0.00119624,0.00119624,0.00119624
4,371.923,0.10898,0.96349,1,0.10768,0.00117575,0.00117575,0.00117575
5,458.404,0.08929,0.96794,1,0.11178,0.001151,0.001151,0.001151
6,544.919,0.07647,0.98219,1,0.06265,0.00112625,0.00112625,0.00112625
7,631.429,0.07193,0.97863,1,0.07261,0.0011015,0.0011015,0.0011015
8,719.411,0.06621,0.88157,1,0.3689,0.00107675,0.00107675,0.00107675
9,808.232,0.05936,0.98308,1,0.04937,0.001052,0.001052,0.001052
10,894.889,0.05372,0.97329,1,0.09327,0.00102725,0.00102725,0.00102725
11,981.594,0.04966,0.98486,1,0.0568,0.0010025,0.0010025,0.0010025
12,1068.06,0.05096,0.97863,1,0.07494,0.00097775,0.00097775,0.00097775
13,1154.66,0.04502,0.98664,1,0.05828,0.000953,0.000953,0.000953
14,1241.2,0.04606,0.98486,1,0.05657,0.00092825,0.00092825,0.00092825
15,1326.66,0.04082,0.98664,1,0.06734,0.0009035,0.0009035,0.0009035
16,1412.53,0.04386,0.98486,1,0.06205,0.00087875,0.00087875,0.00087875
17,1497.76,0.04141,0.97774,1,0.07672,0.000854,0.000854,0.000854
18,1582.94,0.03569,0.9813,1,0.0755,0.00082925,0.00082925,0.00082925
19,1668.57,0.0415,0.98219,1,0.05808,0.0008045,0.0008045,0.0008045
20,1755.4,0.03261,0.98664,1,0.06226,0.00077975,0.00077975,0.00077975
21,1841.86,0.03104,0.98397,1,0.07346,0.000755,0.000755,0.000755
22,1928.73,0.03051,0.98753,1,0.06086,0.00073025,0.00073025,0.00073025
23,2015.31,0.02965,0.98219,1,0.05927,0.0007055,0.0007055,0.0007055
24,2101.39,0.02824,0.98486,1,0.05937,0.00068075,0.00068075,0.00068075
25,2188.01,0.02796,0.98664,1,0.05771,0.000656,0.000656,0.000656
26,2276.67,0.02784,0.98397,1,0.07255,0.00063125,0.00063125,0.00063125
27,2394.59,0.0275,0.98397,1,0.08777,0.0006065,0.0006065,0.0006065
28,2480.22,0.02437,0.98575,1,0.07826,0.00058175,0.00058175,0.00058175
29,2566.73,0.02114,0.98753,1,0.09008,0.000557,0.000557,0.000557
30,2652.21,0.02184,0.98397,1,0.10023,0.00053225,0.00053225,0.00053225
31,2737.79,0.02386,0.98486,1,0.0751,0.0005075,0.0005075,0.0005075
32,2823.52,0.02287,0.98753,1,0.07295,0.00048275,0.00048275,0.00048275
33,2908.86,0.02236,0.98308,1,0.07002,0.000458,0.000458,0.000458
34,2994.24,0.01784,0.98397,1,0.07629,0.00043325,0.00043325,0.00043325
35,3079.58,0.01759,0.98575,1,0.06947,0.0004085,0.0004085,0.0004085
36,3164.91,0.01824,0.98397,1,0.07689,0.00038375,0.00038375,0.00038375
37,3250.36,0.01761,0.98575,1,0.06984,0.000359,0.000359,0.000359
38,3335.53,0.01551,0.98753,1,0.07036,0.00033425,0.00033425,0.00033425
39,3420.99,0.01337,0.98575,1,0.08869,0.0003095,0.0003095,0.0003095
40,3506.3,0.01734,0.98664,1,0.06384,0.00028475,0.00028475,0.00028475
41,3591.58,0.01396,0.98664,1,0.07053,0.00026,0.00026,0.00026
42,3677,0.0136,0.98664,1,0.06272,0.00023525,0.00023525,0.00023525
43,3762.84,0.01099,0.98753,1,0.09108,0.0002105,0.0002105,0.0002105
44,3849.67,0.01193,0.98575,1,0.0659,0.00018575,0.00018575,0.00018575
45,3935.31,0.0116,0.98664,1,0.06992,0.000161,0.000161,0.000161
46,4020.71,0.01171,0.98664,1,0.08121,0.00013625,0.00013625,0.00013625
47,4106.43,0.01047,0.98664,1,0.06602,0.0001115,0.0001115,0.0001115
48,4191.65,0.01123,0.98753,1,0.06474,8.675e-05,8.675e-05,8.675e-05
49,4276.98,0.00962,0.98753,1,0.07524,6.2e-05,6.2e-05,6.2e-05
50,4362.3,0.01157,0.98664,1,0.06603,3.725e-05,3.725e-05,3.725e-05
